Player Name	GP	G	A.	Pts	PIM	Seasons	Yrs.	Pos.	Birthdate	Birthplace	Highest Level
Spencer Abbott	1	0	0	0	0	2013-2014	1	F	1988-04-30	Hamilton, ONT	Major League
Pontus Aberg	5	0	1	1	0	2019-2020	1	L	1993-09-23	Stockholm, Sweden	Major League
Doug Acomb	2	0	1	1	0	1969-1970	1	L	1949-05-15	Toronto, ONT	Major League
Russ Adam	8	1	2	3	11	1982-1983	1	C	1961-05-05	Windsor, ONT	Major League
Kevyn Adams	58	5	8	13	46	1997-2000	3	C	1974-10-08	Washington, DC	Major League
Stewart Adams	19	0	2	2	0	1932-1933	1	L	1904-09-16	Calgary, ALTA	Major League
Gary Aldcorn	86	15	18	33	18	1956-1959	3	L	1935-03-07	Shaunavon, SASK	Major League
Claire Alexander	123	10	29	39	30	1974-1977	3	D	1945-06-16	Collingwood, ONT	Major League
Jason Allison	66	17	43	60	76	2005-2006	1	C	1975-05-29	North York, ONT	Major League
Mike Allison	86	7	19	26	76	1986-1988	2	F	1961-03-28	Fort Frances, ONT	Major League
Frederik Andersen	244	0	3	3	20	2016-2020	4	G	1989-10-02	Herning, Denmark	Major League
Glenn Anderson	221	63	94	157	267	1991-1994	3	F	1960-10-02	Vancouver, BC	Major League
John Anderson	534	189	204	393	168	1977-1985	8	L	1957-03-28	Toronto, ONT	Major League
Dave Andreychuk	223	120	99	219	194	1992-1996	4	L	1963-09-29	Hamilton, ONT	Major League
Greg Andrusak	9	0	1	1	4	1999-2000	1	D	1969-11-14	Cranbrook, BC	Major League
Nikolai Antropov	509	125	166	291	477	1999-2009	9	R	1980-02-18	Ust-Kamenogorsk, Kazakhstan	Major League
Syl Apps	423	201	231	432	56	1936-1948	10	C	1915-01-18	Paris, ONT	Major League
Al Arbour	66	2	7	9	74	1961-1966	5	D	1932-11-01	Sudbury, ONT	Major League
Jack Arbour	10	1	0	1	10	1928-1929	1	D	1898-03-07	Waubaushene, ONT	Major League
Mark Arcobello	20	3	1	4	0	2015-2016	1	F	1988-08-12	Milford, CT	Major League
Colby Armstrong	79	9	17	26	47	2010-2012	2	L	1982-11-23	Lloydminster, SASK	Major League
George Armstrong	1188	296	417	713	721	1949-1971	21	C	1930-07-06	Skead, ONT	Major League
Murray Armstrong	12	0	1	1	0	1937-1939	2	C	1916-01-01	Manor, SASK	Major League
Norm "Red" Armstrong	7	1	1	2	2	1962-1963	1	R	1938-10-17	Owen Sound, ONT	Major League
Tim Armstrong	11	1	0	1	6	1988-1989	1	C	1967-05-12	Toronto, ONT	Major League
Johnny Arundel	3	0	0	0	9	1949-1950	1	D	1927-11-04	Winnipeg, MAN	Major League
Don Ashby	141	26	40	66	34	1975-1979	4	C	1955-03-08	Kamloops, BC	Major League
Carter Ashton	54	0	3	3	32	2011-2015	3	R	1991-04-01	Saskatoon, SASK	Major League
